Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae 1;g__Brevibacillus	0.983	492	0.0	8
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae 1;g__Fontibacillus	0.81	500	0.0	2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae 1;g__Paenibacillus	0.969	498	0.0	19
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae 2;g__Ammoniphilus	0.9	486	0.0	2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Filibacter	0.9	498	0.0	2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus	1.0	498	0.0	2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus	1.0	495	0.0	2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planomicrobium	0.934	495	0.0	7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Psychrobacillus	0.54	504	0.0	2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Rummeliibacillus	1.0	494	0.0	5
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina	1.0	496	0.0	4
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.56	498	0.0	2
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus	1.0	498	0.0	4
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Salinicoccus	0.85	509	0.0	1
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.979	497	0.0	1221
